Município;Até 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos ou mais;Inconsistente;Total
270390 Jundiá;0;8;5;5;0;2;3;4;8;5;0;2;4;4;1;1;0;0;0;52
270400 Junqueiro;15;58;51;45;27;37;33;43;45;34;18;23;19;17;11;11;3;8;0;498
270410 Lagoa da Canoa;5;23;24;13;9;22;20;28;27;18;9;18;8;5;3;3;1;0;0;236
270420 Limoeiro de Anadia;7;11;16;3;6;13;18;19;15;5;4;3;3;4;3;4;1;5;0;140
270430 Maceió;4.790;21.903;23.018;18.655;17.760;23.116;26.917;30.187;28.055;21.913;19.130;17.688;14.698;11.827;8.908;6.217;4.636;6.210;1;305.629
270440 Major Isidoro;7;12;15;9;17;19;17;15;14;15;17;12;7;4;8;6;1;7;0;202
270490 Mar Vermelho;0;1;2;0;3;3;2;4;4;0;1;3;6;1;5;2;0;1;0;38
270450 Maragogi;5;57;57;43;45;84;108;123;123;66;54;48;33;27;15;10;4;9;0;911
270460 Maravilha;2;5;7;5;8;7;8;12;3;3;6;5;2;0;2;3;0;0;0;78
270470 Marechal Deodoro;78;415;439;390;324;420;441;566;480;424;383;358;278;180;155;98;60;54;0;5.543
270480 Maribondo;12;53;75;50;34;41;34;39;58;37;35;31;26;24;15;17;6;5;0;592
270500 Mata Grande;0;12;9;9;14;14;10;19;16;13;8;16;14;13;10;5;5;2;0;189
270510 Matriz de Camaragibe;3;23;39;29;18;31;25;45;35;41;21;23;35;10;5;9;7;4;0;403
270520 Messias;14;70;66;56;32;37;41;48;69;42;34;43;27;16;14;6;6;3;0;624
270530 Minador do Negrão;0;10;10;8;14;6;7;14;13;11;10;10;6;2;6;0;1;1;0;129
270540 Monteirópolis;0;3;9;2;1;3;7;7;3;2;3;2;2;1;1;0;1;0;0;47
270550 Murici;16;72;92;50;39;53;109;85;81;55;68;57;36;29;26;18;7;10;0;903
270560 Novo Lino;4;11;12;8;9;9;5;9;12;8;8;2;2;3;5;0;0;1;0;108
270570 Olho d'Água das Flores;3;36;24;24;18;29;47;46;47;21;17;21;33;25;11;12;9;7;0;430
270580 Olho d'Água do Casado;0;1;3;3;4;5;1;3;3;3;6;1;3;2;2;2;0;1;0;43
270590 Olho d'Água Grande;0;1;5;0;0;1;0;4;2;1;0;0;0;0;0;0;0;0;0;14
270600 Olivença;0;7;5;4;2;1;2;8;3;6;1;4;1;0;0;3;1;3;0;51
270610 Ouro Branco;1;11;5;10;6;9;19;20;9;8;3;5;4;2;2;2;0;1;0;117
270620 Palestina;0;3;1;0;1;1;5;4;2;0;1;3;6;4;2;0;0;1;0;34
270630 Palmeira dos Índios;76;451;447;319;298;357;444;550;436;319;299;348;295;238;165;111;91;123;0;5.367
270640 Pão de Açúcar;3;18;23;21;28;24;39;32;25;23;32;47;50;28;27;15;15;15;0;465
270642 Pariconha;0;3;3;4;2;3;3;0;8;6;3;1;3;2;0;1;1;0;0;43
270644 Paripueira;10;45;51;48;28;43;45;47;45;44;39;32;28;33;24;12;13;5;0;592
270650 Passo de Camaragibe;4;26;29;20;10;11;11;13;24;18;7;9;5;10;6;2;1;3;0;209
270660 Paulo Jacinto;2;15;13;9;6;6;5;20;9;5;4;4;11;4;4;2;2;5;0;126
270670 Penedo;45;187;222;186;152;160;205;260;218;159;166;155;153;181;106;76;47;71;0;2.749
270680 Piaçabuçu;2;21;14;16;14;15;20;22;18;7;9;11;20;21;8;6;3;7;0;234
270690 Pilar;55;286;312;245;168;166;260;326;279;217;161;113;88;62;49;23;22;18;0;2.850
270700 Pindoba;0;0;7;7;6;7;5;4;7;12;16;8;8;3;1;0;3;0;0;94
270710 Piranhas;5;24;47;39;55;50;64;84;92;65;58;72;66;46;28;23;9;18;0;845
270720 Poço das Trincheiras;0;11;12;4;4;9;6;4;10;8;10;3;7;2;0;1;1;1;0;93
270730 Porto Calvo;8;41;67;40;34;59;76;86;62;40;40;35;56;17;10;11;11;6;0;699
270740 Porto de Pedras;1;14;15;12;8;7;7;9;8;11;6;11;6;2;2;2;0;4;0;125
270750 Porto Real do Colégio;2;9;10;5;10;15;21;16;12;17;11;14;21;17;8;8;2;8;0;206
270760 Quebrangulo;3;21;16;16;11;17;20;21;12;14;17;24;15;11;8;2;1;4;0;233
270770 Rio Largo;170;768;759;585;516;687;803;782;728;643;518;470;311;205;129;90;48;86;0;8.298
270780 Roteiro;0;3;3;3;4;1;4;4;5;2;1;0;0;1;0;2;1;0;0;34
270790 Santa Luzia do Norte;8;51;77;68;52;53;53;66;59;48;39;28;13;12;11;10;2;7;0;657
270800 Santana do Ipanema;31;158;173;142;121;145;187;240;203;156;140;126;97;83;66;40;35;40;0;2.183
270810 Santana do Mundaú;0;7;14;7;3;13;16;17;11;3;5;9;7;3;3;2;2;3;0;125
270820 São Brás;3;3;3;9;3;5;15;14;4;7;4;6;6;9;4;1;3;5;0;104
270830 São José da Laje;6;22;35;18;22;17;32;36;34;21;16;28;18;14;4;9;4;11;0;347
270840 São José da Tapera;2;8;13;7;6;11;4;19;32;3;11;8;11;4;1;2;2;0;0;144
270850 São Luís do Quitunde;19;86;75;40;39;49;56;56;52;57;46;41;34;24;11;6;8;6;0;705
270860 São Miguel dos Campos;52;213;299;247;253;224;334;425;368;300;218;204;143;98;65;38;26;44;0;3.551
270870 São Miguel dos Milagres;9;34;8;11;8;10;10;14;11;2;1;7;12;5;1;3;2;2;0;150
270880 São Sebastião;4;29;41;27;17;22;30;33;32;29;20;33;22;14;11;15;10;5;0;394
270890 Satuba;58;156;131;107;88;138;151;144;155;108;78;66;48;37;22;13;11;9;0;1.520
270895 Senador Rui Palmeira;0;1;2;3;2;0;2;1;4;1;0;0;2;1;0;1;0;0;0;20
270900 Tanque d'Arca;1;5;4;3;4;3;5;3;2;7;1;2;3;3;2;1;1;0;0;50
270910 Taquarana;5;31;24;6;10;18;24;16;20;21;14;16;12;4;4;3;4;3;0;235
