Município;Até 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos ou mais;Inconsistente;Total
410305 Boa Vista da Aparecida;4;32;23;17;15;22;37;31;29;19;26;16;7;9;9;7;3;2;0;308
410310 Bocaiúva do Sul;16;62;41;55;41;75;91;83;58;61;56;80;45;28;25;10;13;18;0;858
410315 Bom Jesus do Sul;2;3;6;3;0;8;10;8;7;6;4;1;0;1;0;0;1;0;0;60
410320 Bom Sucesso;6;14;14;10;7;16;16;18;24;10;17;9;14;6;11;7;10;11;0;220
410322 Bom Sucesso do Sul;8;27;28;6;7;16;19;28;16;11;5;6;9;7;8;5;1;3;0;210
410330 Borrazópolis;6;19;24;20;20;48;56;41;23;37;27;35;21;24;18;10;10;12;0;451
410335 Braganey;17;61;42;42;35;53;61;62;64;67;43;48;27;31;23;21;16;15;0;728
410337 Brasilândia do Sul;3;15;3;11;9;23;32;22;16;15;9;7;2;0;3;1;0;1;0;172
410340 Cafeara;2;4;11;9;4;15;10;9;8;10;17;14;4;6;5;6;3;4;0;141
410345 Cafelândia;43;200;168;144;155;190;296;284;234;240;217;181;130;88;76;74;48;52;0;2.820
410347 Cafezal do Sul;1;10;5;4;2;6;11;12;9;7;3;2;2;2;5;4;1;2;0;88
410350 Califórnia;16;48;40;26;29;55;57;58;44;36;47;29;27;25;12;15;9;5;0;578
410360 Cambará;31;130;106;119;126;172;210;189;206;149;165;174;149;144;124;89;69;99;0;2.451
410370 Cambé;345;1.701;1.674;1.400;1.483;1.716;2.244;2.473;2.381;1.952;1.622;1.393;1.076;803;662;505;412;457;0;24.299
410380 Cambira;11;67;47;33;44;73;111;93;83;44;57;55;44;36;14;18;17;20;0;867
410390 Campina da Lagoa;36;113;112;91;95;108;150;148;133;121;118;123;116;87;69;55;28;32;0;1.735
410395 Campina do Simão;0;3;4;5;3;6;6;4;2;6;4;0;1;3;0;0;0;0;0;47
410400 Campina Grande do Sul;132;602;680;483;452;647;815;894;758;572;439;316;209;153;66;46;26;28;0;7.318
410405 Campo Bonito;7;15;6;12;8;19;11;13;14;9;7;7;3;6;6;1;1;0;0;145
410410 Campo do Tenente;7;37;46;45;36;32;35;50;54;28;35;22;17;9;2;5;3;2;0;465
410420 Campo Largo;377;1.795;1.968;1.525;1.605;2.185;2.958;3.135;3.053;2.344;1.853;1.483;1.087;729;521;379;228;251;0;27.476
410425 Campo Magro;74;296;333;288;278;404;438;447;456;404;335;261;211;157;85;50;29;24;0;4.570
410430 Campo Mourão;378;1.538;1.554;1.312;1.574;2.013;2.470;2.546;2.225;1.717;1.675;1.541;1.179;865;602;411;257;326;0;24.183
410440 Cândido de Abreu;5;21;24;16;23;46;52;37;35;25;19;23;17;8;7;5;3;2;0;368
410442 Candói;14;44;45;35;29;56;94;59;66;43;36;29;24;20;15;9;6;1;0;625
410445 Cantagalo;10;33;28;22;31;41;38;54;49;52;36;23;23;29;23;20;23;27;0;562
410450 Capanema;16;75;79;78;46;108;121;111;124;74;87;94;71;52;46;35;22;16;0;1.255
410460 Capitão Leônidas Marques;32;97;86;58;68;105;131;133;102;89;74;70;56;41;30;30;12;16;0;1.230
410465 Carambeí;93;524;532;492;457;570;607;619;602;463;333;235;129;59;48;31;14;19;0;5.827
410470 Carlópolis;4;31;32;27;19;39;36;42;38;26;18;41;29;29;33;17;13;14;0;488
410480 Cascavel;1.508;6.354;6.043;4.736;4.838;6.498;8.854;9.335;8.312;6.401;5.354;5.132;4.071;3.291;2.355;1.766;1.154;1.484;0;87.486
410490 Castro;152;830;1.003;820;789;1.036;1.193;1.257;1.071;773;584;466;334;187;133;93;75;85;0;10.881
410500 Catanduvas;12;48;59;38;32;56;79;69;93;46;46;34;31;25;7;7;10;6;0;698
410510 Centenário do Sul;4;30;45;36;33;60;48;64;87;58;64;74;66;72;35;26;18;23;0;843
410520 Cerro Azul;3;18;29;24;16;28;30;32;37;24;21;19;16;10;10;7;4;0;0;328
410530 Céu Azul;43;127;127;103;89;119;151;182;158;117;99;80;81;77;69;57;31;33;0;1.743
410540 Chopinzinho;36;135;88;71;78;107;168;183;184;109;89;106;97;65;43;32;16;27;0;1.634
410550 Cianorte;198;849;830;565;522;711;1.058;1.129;1.028;769;668;616;508;495;352;282;221;254;0;11.055
410560 Cidade Gaúcha;18;224;269;256;239;265;312;302;360;299;245;214;177;70;42;20;22;24;0;3.358
410570 Clevelândia;28;123;117;103;105;159;174;155;171;121;121;135;123;103;68;58;41;50;0;1.955
410580 Colombo;897;4.051;4.039;3.309;3.095;3.961;5.064;5.674;5.280;3.931;3.237;2.531;1.876;1.275;784;480;306;309;0;50.099
410590 Colorado;32;188;176;155;159;185;282;318;302;264;317;364;351;309;247;204;122;135;0;4.110
410600 Congonhinhas;1;9;10;4;4;14;26;16;14;7;10;11;6;8;9;8;4;2;0;163
410610 Conselheiro Mairinck;0;14;10;10;5;10;16;17;8;3;12;5;6;8;11;7;2;3;0;147
410620 Contenda;29;133;127;112;91;171;200;186;207;139;111;87;61;32;23;30;22;15;0;1.776
410630 Corbélia;60;224;188;154;153;228;313;295;246;204;224;190;154;106;93;79;55;70;0;3.036
410640 Cornélio Procópio;154;559;612;558;598;611;870;1.038;917;826;723;772;688;615;468;332;275;328;0;10.944
410645 Coronel Domingos Soares;3;30;21;10;13;26;28;25;15;10;9;5;3;1;2;1;0;2;0;204
410650 Coronel Vivida;66;288;252;217;232;298;359;432;332;266;253;265;232;180;147;123;89;120;0;4.151
410655 Corumbataí do Sul;8;27;33;23;29;61;50;45;45;26;17;14;2;3;3;1;0;0;0;387
410680 Cruz Machado;0;7;10;13;25;20;26;29;25;13;17;17;19;17;5;7;5;1;0;256
410657 Cruzeiro do Iguaçu;2;32;35;22;28;31;40;41;33;21;22;24;4;12;3;3;3;0;0;356
410660 Cruzeiro do Oeste;15;120;130;99;112;154;213;233;210;193;168;144;89;88;42;52;44;34;0;2.140
410670 Cruzeiro do Sul;10;62;77;73;67;72;110;93;96;89;89;78;86;64;42;25;23;30;0;1.186
410685 Cruzmaltina;4;16;24;4;11;16;22;15;12;11;11;4;4;6;1;1;0;1;0;163
410690 Curitiba;11.425;53.854;63.263;55.982;55.694;65.030;83.075;97.859;101.330;80.424;70.059;64.293;54.270;43.044;31.892;22.228;14.807;19.593;4;988.126
410700 Curiúva;7;35;32;26;33;33;34;45;43;41;24;26;21;11;12;11;4;2;0;440
410715 Diamante D'Oeste;7;17;14;7;13;19;26;24;17;8;11;10;9;10;2;3;4;0;0;201
410710 Diamante do Norte;8;21;36;24;21;39;39;46;48;35;46;33;44;17;17;10;13;7;0;504
410712 Diamante do Sul;2;10;5;6;2;6;10;6;5;5;6;6;2;2;0;0;1;0;0;74
410720 Dois Vizinhos;175;754;836;829;733;726;1.149;1.245;1.179;894;806;622;378;195;150;86;50;57;0;10.864
410725 Douradina;55;196;196;127;119;246;421;398;321;216;167;127;73;45;16;11;7;4;0;2.745
410730 Doutor Camargo;16;79;94;76;80;97;133;132;108;96;120;162;134;107;88;85;62;70;0;1.739
412863 Doutor Ulysses;0;2;3;6;1;0;4;6;7;2;2;1;2;2;2;0;0;1;0;41
410740 Enéas Marques;8;32;23;30;22;37;66;57;34;23;22;26;16;9;10;4;0;1;0;420
410750 Engenheiro Beltrão;23;136;115;108;105;157;190;223;181;138;127;162;114;93;70;46;37;47;0;2.072
410753 Entre Rios do Oeste;16;62;47;38;38;55;85;80;63;58;70;56;45;36;45;42;32;22;0;890
410752 Esperança Nova;0;0;1;2;0;3;4;2;1;2;1;1;0;3;4;1;0;1;0;26
410754 Espigão Alto do Iguaçu;3;7;8;5;8;6;10;16;10;8;8;4;5;4;3;0;1;0;0;106
410755 Farol;7;22;35;23;20;41;46;38;25;26;22;22;7;11;5;5;3;4;0;362
410760 Faxinal;18;96;106;94;101;118;119;156;127;110;102;101;62;54;52;41;26;23;0;1.506
410765 Fazenda Rio Grande;516;2.033;2.057;1.555;1.472;2.112;2.855;2.881;2.306;1.609;1.131;804;525;290;166;73;55;45;0;22.485
410770 Fênix;8;21;30;23;31;66;67;47;32;36;47;49;38;19;13;8;17;21;0;573
410773 Fernandes Pinheiro;4;10;16;16;25;19;19;24;20;10;9;13;4;2;3;1;0;0;0;195
410775 Figueira;2;25;26;20;18;23;36;27;33;19;24;27;26;19;16;27;18;17;0;403
410785 Flor da Serra do Sul;3;11;3;5;4;16;15;15;10;3;0;3;3;4;1;3;0;1;0;100
410780 Floraí;11;63;81;63;57;64;95;121;99;80;90;98;82;81;67;50;42;45;0;1.289
410790 Floresta;22;144;149;116;119;186;198;217;165;172;167;143;186;100;85;68;65;81;0;2.383
410800 Florestópolis;9;30;42;33;33;36;52;57;43;41;33;40;35;31;22;21;15;14;0;587
410810 Flórida;6;33;35;37;27;41;30;39;41;43;43;39;36;14;14;7;10;15;0;510
410820 Formosa do Oeste;3;22;25;16;13;14;30;37;43;23;21;36;17;27;18;18;10;6;0;379
410830 Foz do Iguaçu;928;4.370;4.908;4.217;4.304;5.561;6.157;7.155;6.886;5.263;4.286;4.041;3.463;2.852;2.002;1.234;858;1.340;1;69.826
410845 Foz do Jordão;4;5;15;7;7;13;25;9;16;10;9;5;12;6;4;2;1;0;0;150
410832 Francisco Alves;8;25;17;20;17;34;37;46;47;20;18;18;17;7;7;1;5;6;0;350
410840 Francisco Beltrão;247;987;1.140;893;905;1.033;1.519;1.739;1.600;1.128;990;904;663;550;374;279;161;176;0;15.288
410850 General Carneiro;5;41;36;41;43;57;73;74;54;68;97;60;38;29;12;16;6;10;0;760
410855 Godoy Moreira;0;2;1;2;2;1;6;5;7;1;1;1;4;1;0;0;0;1;0;35
410860 Goioerê;31;182;185;225;201;279;348;359;323;293;290;301;238;205;156;128;102;107;0;3.953
410865 Goioxim;3;22;29;28;14;30;32;34;25;15;14;4;4;2;0;1;0;0;0;257
410870 Grandes Rios;2;7;15;6;15;14;23;23;23;16;13;16;10;17;6;9;1;5;0;221
410880 Guaíra;46;175;185;180;142;173;264;328;277;263;241;248;232;190;154;110;70;83;0;3.361
410890 Guairaçá;6;43;40;40;34;68;69;74;53;39;42;30;26;11;9;8;7;6;0;605
410895 Guamiranga;4;6;6;4;4;12;9;15;11;5;4;6;6;2;4;3;2;3;0;106
410900 Guapirama;4;16;19;6;7;14;23;14;11;14;11;11;8;7;8;5;4;7;0;189
410910 Guaporema;4;25;17;17;16;23;37;28;15;15;21;20;13;3;3;1;4;1;0;263
410920 Guaraci;2;17;37;24;25;32;43;46;42;25;34;40;24;23;24;22;21;13;0;494
410930 Guaraniaçu;18;66;54;60;44;63;101;109;95;66;74;66;60;33;26;26;21;23;0;1.005
410940 Guarapuava;425;1.899;1.936;1.734;1.713;2.133;2.553;2.761;2.684;2.049;1.869;1.650;1.364;1.038;751;600;401;448;0;28.008
410950 Guaraqueçaba;1;3;8;9;13;11;7;5;8;19;12;12;13;6;5;6;5;1;0;144
410960 Guaratuba;17;137;151;178;137;149;189;208;217;188;171;180;186;229;205;135;90;63;0;2.830
410965 Honório Serpa;10;30;24;36;31;27;33;45;39;28;27;20;10;14;10;6;3;5;0;398
410970 Ibaiti;21;114;121;121;106;114;124;151;167;128;119;111;105;82;62;55;24;22;0;1.747
410975 Ibema;5;22;16;12;11;27;29;24;28;22;14;15;11;8;7;7;0;5;0;263
410980 Ibiporã;196;747;767;695;680;889;1.073;1.138;1.147;859;742;712;539;504;436;257;210;270;0;11.861
410990 Icaraíma;3;65;76;73;53;93;101;124;102;88;69;59;47;31;13;2;4;5;0;1.008
411000 Iguaraçu;4;53;61;49;53;56;87;86;84;54;63;50;35;28;26;18;11;18;0;836
411005 Iguatu;2;20;18;14;12;16;16;17;20;15;11;11;8;3;1;8;6;6;0;204
411007 Imbaú;5;28;25;35;21;32;38;50;53;30;26;11;8;6;4;2;4;1;0;379
411010 Imbituva;18;76;64;48;48;97;122;125;90;65;64;59;47;47;42;35;19;14;0;1.080
411020 Inácio Martins;1;10;7;12;10;13;12;9;10;14;8;6;7;8;5;4;3;2;0;141
411030 Inajá;1;37;36;34;33;51;46;53;46;46;39;28;14;15;5;4;1;2;0;491
411040 Indianópolis;8;28;24;21;15;30;46;50;35;36;19;29;19;19;11;6;3;8;0;407
411050 Ipiranga;18;48;50;37;48;66;83;96;75;63;53;37;41;37;12;12;16;10;0;802
411060 Iporã;12;27;34;49;30;47;76;74;61;54;52;47;40;46;44;21;14;8;0;736
411065 Iracema do Oeste;1;1;1;4;3;10;7;9;3;8;5;3;4;1;3;1;0;2;0;66
411070 Irati;98;483;481;432;466;678;795;755;742;543;396;354;254;242;166;131;82;110;0;7.208
411080 Iretama;9;37;28;22;22;39;35;46;41;26;25;34;19;12;4;3;4;2;0;408
411090 Itaguajé;1;12;17;14;13;18;30;25;31;14;24;20;24;13;13;4;7;6;0;286
411095 Itaipulândia;4;27;17;18;16;35;36;37;29;26;22;8;12;8;8;6;1;1;0;311
411100 Itambaracá;9;16;26;31;28;32;38;38;45;34;38;54;40;36;30;8;13;35;0;551
411110 Itambé;15;85;104;110;88;141;151;151;157;115;135;123;76;84;71;55;39;47;0;1.747
411120 Itapejara d'Oeste;20;62;50;52;34;67;107;108;86;54;46;48;30;26;23;23;10;11;0;857
411125 Itaperuçu;31;109;114;107;101;153;170;155;131;101;77;38;27;14;8;4;2;0;0;1.342
411130 Itaúna do Sul;1;6;9;7;8;5;13;20;17;12;11;7;6;6;4;4;0;1;0;137
411140 Ivaí;5;26;32;21;29;31;28;45;34;26;27;25;14;12;17;7;8;7;0;394
411150 Ivaiporã;48;197;191;214;208;253;303;301;303;240;220;262;226;163;108;89;64;70;0;3.460
411155 Ivaté;12;192;197;160;121;176;246;273;224;178;174;113;81;36;12;3;5;1;0;2.204
411160 Ivatuba;11;31;40;27;48;55;74;70;60;31;48;62;42;35;26;20;19;30;0;729
411170 Jaboti;1;7;9;6;2;4;10;10;9;6;1;7;7;4;4;3;0;0;0;90
411180 Jacarezinho;78;362;399;337;295;371;471;592;559;409;370;349;264;252;177;160;155;128;0;5.728
411190 Jaguapitã;19;97;84;57;61;105;113;134;129;78;84;106;75;59;60;41;24;42;0;1.368
411200 Jaguariaíva;84;463;553;528;467;576;676;728;660;475;351;284;177;114;61;54;29;33;0;6.313
411210 Jandaia do Sul;49;208;220;191;222;273;336;338;316;231;222;262;216;238;190;169;121;187;0;3.989
411220 Janiópolis;5;22;28;18;23;35;36;41;39;36;26;28;14;10;14;12;7;9;0;403
411230 Japira;1;12;3;8;7;4;9;7;17;7;7;5;2;11;2;2;1;2;0;107
411240 Japurá;18;58;79;55;46;63;92;126;96;86;76;78;77;54;32;24;9;20;0;1.089
411250 Jardim Alegre;5;32;41;37;34;50;55;37;50;36;35;38;23;36;36;10;16;16;0;587
411260 Jardim Olinda;0;7;10;4;9;9;6;11;14;4;8;11;8;2;0;0;0;3;0;106
411270 Jataizinho;18;102;104;60;91;117;107;137;142;94;85;76;64;71;46;37;31;28;0;1.410
411275 Jesuítas;6;24;34;26;28;28;50;48;45;30;26;43;31;27;18;18;12;23;0;517
411280 Joaquim Távora;13;103;70;88;65;89;146;134;144;80;70;77;45;43;27;29;19;33;0;1.275
411290 Jundiaí do Sul;1;3;4;2;3;1;10;7;3;6;2;6;2;2;6;3;3;6;0;70
411295 Juranda;26;78;74;72;73;99;129;128;118;82;74;82;57;40;36;20;20;24;0;1.232
411300 Jussara;5;35;41;32;30;30;59;46;39;35;43;40;33;27;25;17;16;19;0;572
411310 Kaloré;1;15;11;7;7;22;15;16;20;16;13;10;18;5;4;8;1;4;0;193
411320 Lapa;66;236;263;213;211;285;383;443;387;291;218;204;188;141;110;79;55;72;0;3.845
411325 Laranjal;0;6;1;3;0;0;5;5;5;1;3;0;2;0;1;1;1;0;0;34
411330 Laranjeiras do Sul;37;149;156;115;110;149;216;261;220;156;120;126;130;115;81;54;34;34;0;2.263
411340 Leópolis;1;6;9;9;14;11;8;18;13;15;12;11;12;13;9;4;3;4;0;172
411342 Lidianópolis;2;3;11;5;4;7;6;8;10;8;4;3;5;1;2;3;1;1;0;84
411345 Lindoeste;5;18;10;10;5;26;37;28;27;20;11;10;9;9;8;6;0;5;0;244
411350 Loanda;35;145;184;134;122;158;207;232;221;194;194;167;150;135;102;81;72;61;0;2.594
411360 Lobato;10;67;73;70;71;88;81;120;112;95;88;73;69;48;23;22;17;21;0;1.148
411370 Londrina;2.685;11.245;11.975;10.402;10.381;13.129;16.232;18.469;18.337;13.632;12.047;12.063;9.942;8.698;6.693;5.376;4.067;5.454;0;190.827
411373 Luiziana;15;55;54;48;60;113;86;84;68;44;32;35;15;12;12;4;10;9;0;756
411375 Lunardelli;0;5;10;13;6;30;25;15;18;12;18;9;4;12;6;7;4;9;0;203
411380 Lupionópolis;0;15;20;25;23;28;29;28;33;33;44;37;33;23;33;13;20;13;0;450
411390 Mallet;37;164;156;161;131;260;238;238;182;115;70;71;33;17;5;11;3;8;0;1.900
411400 Mamborê;27;137;124;116;154;159;216;195;189;155;153;144;127;86;63;40;37;40;0;2.162
411410 Mandaguaçu;83;436;465;427;389;545;691;654;655;566;480;505;396;299;229;183;140;162;0;7.305
411420 Mandaguari;97;512;460;351;467;771;1.010;1.038;917;818;727;690;522;375;274;192;143;174;0;9.538
411430 Mandirituba;29;130;113;91;94;155;174;166;140;92;105;78;57;43;45;28;14;12;0;1.566
411435 Manfrinópolis;2;5;8;9;13;14;22;13;11;5;5;3;1;0;0;0;1;0;0;112
411440 Mangueirinha;21;155;143;119;129;184;194;182;168;173;114;111;90;96;69;32;16;14;0;2.010
411450 Manoel Ribas;18;54;55;39;44;80;108;71;61;42;44;29;32;18;14;7;6;7;0;729
411460 Marechal Cândido Rondon;285;1.265;1.208;1.078;1.105;1.462;1.760;1.923;1.684;1.547;1.455;1.422;1.134;885;790;635;522;561;0;20.721
411470 Maria Helena;1;4;9;6;10;13;17;23;16;7;11;13;9;10;4;4;0;1;0;158
411480 Marialva;126;692;708;562;515;743;960;1.148;958;789;690;651;562;523;410;313;220;258;0;10.828
411490 Marilândia do Sul;8;37;47;40;42;40;62;55;62;35;31;29;18;24;13;4;3;7;0;557
411500 Marilena;6;15;16;8;6;9;27;26;18;19;5;12;6;5;4;8;4;10;0;204
411510 Mariluz;13;74;78;88;86;100;121;126;91;111;101;100;52;37;18;21;15;16;0;1.248
411520 Maringá;1.866;9.767;10.745;9.155;9.221;12.337;16.677;17.234;15.930;12.413;11.754;11.998;9.982;8.624;6.736;5.243;3.920;4.769;2;178.373
411530 Mariópolis;16;67;69;46;50;61;100;102;82;66;56;42;42;59;27;28;11;19;0;943
411535 Maripá;23;74;70;49;32;110;129;124;110;84;84;86;72;41;31;24;35;22;0;1.200
411540 Marmeleiro;23;79;83;48;31;72;127;104;92;57;45;53;33;27;12;13;11;13;0;923
411545 Marquinho;0;1;2;3;2;3;3;2;3;2;4;1;0;2;1;1;0;0;0;30
411550 Marumbi;4;17;19;11;16;35;39;34;28;18;22;38;21;16;8;11;15;16;0;368
411560 Matelândia;62;238;182;168;121;254;287;326;246;225;158;138;120;94;78;54;48;48;0;2.847
411570 Matinhos;51;257;288;306;229;191;275;348;407;348;291;283;277;307;225;145;84;67;0;4.379
411573 Mato Rico;0;0;0;3;1;1;0;2;2;1;1;0;0;0;0;0;0;0;0;11
411575 Mauá da Serra;10;41;46;26;20;34;57;44;50;30;41;26;23;14;18;9;8;8;0;505
411580 Medianeira;176;834;798;674;685;950;1.234;1.260;1.156;933;907;846;562;396;284;198;135;137;0;12.165
411585 Mercedes;28;95;113;72;73;99;123;144;130;94;92;84;69;75;62;46;56;64;0;1.519
411590 Mirador;0;11;7;4;6;14;17;11;6;6;7;8;4;2;0;1;1;1;0;106
411600 Miraselva;2;11;4;2;5;10;10;17;16;3;12;9;8;8;10;7;3;12;0;149
411605 Missal;21;59;42;53;40;68;93;78;74;57;50;50;24;30;20;27;21;8;0;815
411610 Moreira Sales;7;91;130;111;116;121;157;190;134;137;115;180;113;60;36;21;19;40;0;1.778
411620 Morretes;29;71;102;90;80;119;137;145;128;113;85;76;87;77;57;45;31;39;0;1.511
411630 Munhoz de Melo;7;20;22;20;20;21;35;28;27;25;33;32;14;9;6;7;9;7;0;342
411640 Nossa Senhora das Graças;1;6;10;11;14;13;10;12;14;18;5;7;9;11;7;6;5;4;0;163
411650 Nova Aliança do Ivaí;0;5;4;4;7;1;4;7;4;7;5;3;0;3;0;2;3;2;0;61
411660 Nova América da Colina;0;5;5;7;9;7;10;4;9;4;6;5;4;4;2;6;3;0;0;90
411670 Nova Aurora;34;128;122;108;127;168;210;179;166;168;183;145;99;92;77;68;55;73;0;2.202
411680 Nova Cantu;9;32;34;31;29;40;50;51;28;43;40;51;44;22;22;16;19;9;0;570
411690 Nova Esperança;51;326;413;354;347;483;573;589;573;505;545;563;489;477;339;295;208;248;0;7.378
411695 Nova Esperança do Sudoeste;5;17;10;12;17;24;30;18;22;9;11;10;4;2;0;3;3;0;0;197
411700 Nova Fátima;1;33;24;23;30;52;43;48;35;23;42;30;34;29;23;18;18;19;0;525
411705 Nova Laranjeiras;5;10;8;7;8;8;15;19;12;5;9;5;2;2;7;3;2;0;0;127
411710 Nova Londrina;13;94;117;99;91;114;150;137;174;118;111;109;103;79;73;63;36;58;0;1.739
411720 Nova Olímpia;2;30;53;32;32;41;56;70;49;50;33;31;15;8;2;2;5;0;0;511
411725 Nova Prata do Iguaçu;6;27;15;12;18;40;43;40;33;22;20;20;17;13;9;5;8;3;0;351
411721 Nova Santa Bárbara;2;13;7;11;6;18;12;18;14;8;2;11;2;6;6;8;6;5;0;155
411722 Nova Santa Rosa;47;142;141;115;109;143;204;219;150;132;141;129;92;105;99;82;67;86;0;2.203
411727 Nova Tebas;1;10;13;10;8;12;19;13;17;8;6;2;5;4;3;2;0;0;0;133
411729 Novo Itacolomi;4;11;7;6;3;7;13;13;10;5;5;7;4;3;2;1;3;0;0;104
411730 Ortigueira;11;53;57;58;35;57;70;88;68;54;46;31;25;24;15;16;8;6;0;722
411740 Ourizona;11;45;56;52;38;76;89;86;72;59;66;75;48;52;31;42;20;20;0;938
411745 Ouro Verde do Oeste;21;101;105;89;93;137;136;128;120;109;94;69;44;31;33;23;19;16;0;1.368
411750 Paiçandu;166;736;685;546;562;782;997;1.046;904;808;679;646;488;355;269;191;141;160;0;10.161
411760 Palmas;96;351;358;320;263;338;422;491;485;361;256;281;246;190;142;97;66;69;0;4.832
411770 Palmeira;35;239;242;174;128;263;313;324;312;206;166;133;111;94;81;59;53;54;0;2.987
411780 Palmital;6;27;31;18;15;30;44;49;36;22;36;25;21;22;20;10;5;5;0;422
411790 Palotina;93;495;431;336;304;421;628;734;666;510;457;460;345;313;244;185;142;136;0;6.900
411800 Paraíso do Norte;19;77;81;82;101;118;151;142;120;137;149;124;112;101;73;55;32;58;0;1.732
411810 Paranacity;19;212;254;208;193;246;241;301;285;271;242;206;130;77;67;51;33;37;0;3.073
411820 Paranaguá;688;3.153;3.698;3.586;3.630;4.318;4.056;4.431;4.198;3.597;3.319;2.996;2.134;1.353;961;588;406;484;0;47.596
411830 Paranapoema;2;14;24;13;11;17;28;19;23;13;15;11;4;1;2;0;1;1;0;199
411840 Paranavaí;225;1.100;1.144;879;822;1.129;1.610;1.634;1.536;1.163;1.086;1.110;964;852;650;558;338;454;0;17.254
411845 Pato Bragado;17;72;67;63;42;52;67;98;89;57;67;51;39;50;43;49;27;25;0;975
411850 Pato Branco;390;1.700;1.544;1.223;1.090;1.573;2.275;2.464;2.226;1.466;1.312;1.451;1.343;1.042;880;512;401;507;0;23.399
411860 Paula Freitas;1;14;18;16;11;16;19;25;12;11;16;10;8;4;6;1;2;1;0;191
411870 Paulo Frontin;1;8;5;3;6;17;24;16;3;5;8;6;3;8;5;1;6;2;0;127
411880 Peabiru;23;93;118;102;124;119;151;173;151;126;121;110;107;75;66;47;20;44;0;1.770
411885 Perobal;2;10;13;14;3;13;21;21;14;11;16;6;8;10;4;1;0;3;0;170
411890 Pérola;6;33;21;18;14;27;51;46;45;20;24;41;27;18;31;28;13;21;0;484
411900 Pérola d'Oeste;3;7;9;10;6;16;28;24;20;10;5;15;9;10;8;8;5;5;0;198
411910 Piên;29;90;104;84;88;143;160;175;165;117;94;56;30;14;14;8;0;1;0;1.372
411915 Pinhais;664;3.004;3.385;2.967;2.829;3.630;4.396;4.928;4.748;3.813;3.010;2.260;1.711;1.186;743;428;253;258;0;44.213
411925 Pinhal de São Bento;0;0;0;2;1;3;0;0;1;1;2;0;0;0;0;0;0;0;0;10
411920 Pinhalão;1;7;10;5;8;12;6;15;13;6;7;9;10;11;11;5;3;5;0;144
411930 Pinhão;13;64;87;78;88;93;103;109;95;91;85;77;60;37;33;17;11;18;0;1.159
411940 Piraí do Sul;18;116;142;121;116;102;166;189;164;117;111;86;90;73;55;42;22;35;0;1.765
411950 Piraquara;288;1.330;1.431;1.139;1.067;1.377;1.743;1.874;1.593;1.135;961;723;485;311;197;139;67;77;0;15.937
411960 Pitanga;26;125;141;118;146;203;203;226;189;134;136;134;117;97;44;49;34;35;0;2.157
411965 Pitangueiras;1;11;7;6;7;11;17;16;17;12;12;9;3;2;3;2;2;2;0;140
411970 Planaltina do Paraná;4;14;11;10;17;29;32;30;19;18;18;36;25;19;14;9;13;22;0;340
411980 Planalto;5;17;28;17;13;32;45;43;30;24;16;15;24;12;14;4;1;3;0;343
411990 Ponta Grossa;1.313;5.842;6.232;5.363;4.991;6.734;8.495;8.875;8.615;6.653;5.317;4.744;3.667;2.928;2.194;1.613;1.044;1.300;0;85.920
411995 Pontal do Paraná;108;594;659;503;430;482;767;869;717;498;314;293;217;165;120;62;50;41;0;6.889
412000 Porecatu;28;81;102;93;102;122;131;135;155;126;151;151;130;123;139;98;65;81;0;2.013
412010 Porto Amazonas;7;10;16;11;5;7;19;26;11;12;15;9;8;9;13;8;2;5;0;193
412015 Porto Barreiro;1;11;2;0;0;3;6;4;4;0;0;1;0;1;2;0;1;0;0;36
412020 Porto Rico;1;10;11;6;9;13;18;11;11;10;7;9;10;4;8;4;5;1;0;148
412030 Porto Vitória;1;6;1;3;6;10;8;8;6;8;5;5;5;1;3;0;3;3;0;82
412033 Prado Ferreira;1;27;8;15;10;10;22;19;22;28;13;7;11;15;3;3;2;1;0;217
412035 Pranchita;3;5;4;8;3;11;21;22;16;9;7;13;6;12;13;6;1;2;0;162
412040 Presidente Castelo Branco;9;72;80;85;66;82;95;111;97;97;90;59;45;36;36;25;11;23;0;1.119
412050 Primeiro de Maio;15;74;78;70;73;91;120;131;101;86;99;120;106;98;63;40;41;47;0;1.453
412060 Prudentópolis;17;97;77;87;72;123;188;206;190;98;110;96;79;89;72;58;30;34;0;1.723
412065 Quarto Centenário;14;35;38;45;46;58;66;75;58;50;65;35;26;8;8;5;6;5;0;643
412070 Quatiguá;9;34;25;19;14;26;33;43;29;20;19;19;24;11;24;15;3;6;0;373
412080 Quatro Barras;114;576;588;556;541;668;764;816;817;567;447;343;224;120;79;46;39;37;0;7.342
412085 Quatro Pontes;27;82;81;82;82;89;137;136;114;117;95;102;87;69;59;53;47;70;0;1.529
412090 Quedas do Iguaçu;61;189;204;156;154;175;263;325;279;215;197;157;143;98;74;51;26;31;0;2.798
412100 Querência do Norte;10;28;31;35;30;50;47;54;50;37;52;32;30;20;13;16;6;13;0;554
412110 Quinta do Sol;7;26;38;35;29;42;46;39;48;40;48;40;22;16;20;15;16;16;0;543
